GAME_ID,TEAM_ID,FIRST_SHOT_TYPE,FIRST_SHOT_TIME_SEC,FIRST_MINUTE_BASKETS,FIRST_MINUTE_POINTS
0022500117,1610612740,3PT,,1,3
0022500118,1610612759,2PT,19.0,2,5
0022500118,1610612761,2PT,,0,0
0022500119,1610612742,3PT,,0,0
0022500119,1610612760,3PT,16.0,2,5
0022500120,1610612756,2PT,,0,0
0022500120,1610612762,2PT,13.0,2,5
0022500121,1610612744,3PT,9.0,2,5
0022500121,1610612763,3PT,,0,0
0022500122,1610612747,3PT,,0,0
0022500122,1610612757,2PT,17.0,0,0
0022500123,1610612755,3PT,,2,4
0022500123,1610612764,2PT,31.0,1,2
0022500124,1610612748,2PT,16.0,1,2
0022500124,1610612766,2PT,,1,2
0022500125,1610612749,3PT,,1,3
0022500125,1610612752,3PT,23.0,1,3
0022500126,1610612758,2PT,,0,0
0022500126,1610612760,3PT,13.0,1,2
0022500127,1610612744,3PT,17.0,2,3
0022500127,1610612746,3PT,,0,0
0022500128,1610612738,2PT,,1,2
0022500128,1610612739,2PT,16.0,1,2
0022500129,1610612753,2PT,,2,2
0022500129,1610612765,3PT,28.0,0,0
0022500130,1610612737,2PT,,0,0
0022500130,1610612751,2PT,19.0,1,2
0022500131,1610612745,3PT,17.0,1,2
0022500131,1610612761,2PT,,0,0
0022500132,1610612741,2PT,13.0,1,0
0022500132,1610612758,3PT,,1,2
0022500133,1610612742,3PT,22.0,0,0
0022500133,1610612754,3PT,,0,0
0022500134,1610612740,2PT,,0,0
0022500134,1610612743,2PT,23.0,1,2
0022500135,1610612757,3PT,,0,0
0022500135,1610612762,3PT,18.0,1,3
0022500136,1610612747,3PT,,1,3
0022500136,1610612750,2PT,23.0,0,0
0022500137,1610612756,2PT,15.0,2,4
0022500137,1610612763,2PT,,1,2
0022500138,1610612753,2PT,,1,2
0022500138,1610612766,2PT,28.0,1,2
0022500139,1610612744,3PT,,1,3
0022500139,1610612749,2PT,24.0,2,5
0022500140,1610612760,2PT,,0,0
0022500140,1610612764,2PT,14.0,1,2
0022500141,1610612748,2PT,,1,2
0022500141,1610612759,3PT,15.0,2,5
0022500142,1610612749,2PT,25.0,2,4
0022500142,1610612758,2PT,,0,0
0022500143,1610612750,3PT,17.0,1,2
0022500143,1610612766,2PT,,1,2
0022500144,1610612744,2PT,,1,2
0022500144,1610612754,2PT,11.0,1,3
0022500145,1610612753,3PT,19.0,1,2
0022500145,1610612764,2PT,,1,2
0022500146,1610612738,2PT,,0,0
0022500146,1610612745,2PT,18.0,2,4
0022500148,1610612740,3PT,,2,3
0022500148,1610612760,3PT,12.0,1,3
0022500149,1610612751,2PT,,1,2
0022500149,1610612755,3PT,16.0,1,3
0022500150,1610612762,2PT,13.0,1,2
0022500150,1610612766,3PT,,0,0
0022500151,1610612737,3PT,,0,0
0022500151,1610612739,2PT,27.0,2,4
0022500152,1610612761,3PT,31.0,1,3
0022500152,1610612763,2PT,,0,0
0022500153,1610612741,3PT,,0,0
0022500153,1610612752,2PT,18.0,1,2
0022500154,1610612756,2PT,32.0,0,0
0022500154,1610612759,2PT,,0,0
0022500155,1610612747,3PT,16.0,3,8
0022500155,1610612748,3PT,,0,0
0022500156,1610612750,2PT,,0,0
0022500156,1610612751,2PT,31.0,1,2
0022500157,1610612749,2PT,,1,2
